step,ce_loss,reward,hybrid_loss
100,0.0153,,
200,0.0145,,
300,0.0137,,
400,0.0142,,
500,0.0116,,
600,0.0111,,
700,0.0112,,
800,0.0096,,
900,0.0094,,
1000,0.008,,
1100,0.0083,,
1200,0.0087,,
1300,0.0069,,
1400,0.0066,,
1500,0.0057,,
